source,target
W2130835337,W2012168615
W2130835337,W2158440326
W2620201613,W2158440326
W2331203840,W2119743236
W3048114418,W2048927207
W3048114418,W2158440326
W3048114418,W631129369
W3215732544,W2158440326
W3215732544,W3045612253
W2956274296,W1591502102
W4220921232,W2752194533
W4220921232,W2909923130
W4220921232,W3094760548
W2940774527,W2048927207
W2940774527,W2158440326
W2940774527,W2307178780
W4309852333,W2165242947
W3009611621,W2048927207
W3009611621,W2158440326
W4389618319,W2169201386
W4389618319,W2896892373
W2605705734,W1974825750
W2605705734,W2072940256
W2605705734,W265612000
W204060211,W2037689762
W2989075810,W2026656132
W4313572834,W4313572834
W3111337988,W2201250323
W3121592188,W2104447549
W3121592188,W258632198
W3124210252,W258632198
W3124210252,W4388360358
W3124210252,W610200515
W4390509604,W4321100095
W3122925167,W3122788041
W2905736331,W2162190933
W2905736331,W2418287708
W2791289740,W2038639390
W2899296186,W2133938585
W2344461098,W2000888627
W1841750191,W2090504027
W1841750191,W2243044396
W2122909784,W2122909784
W2054674324,W2152325011
W2063674746,W2251516417
W2063674746,W625527963
W2745467844,W2159893983
W2745467844,W4239756156
W2196783943,W43516000
W4385999553,W2993829022
W4385999553,W3087039085
W4385999553,W4229332693
W4385999553,W4283020094
W2005239383,W1978965223
W2124614362,W1557295714
W2124614362,W2035244368
W2124614362,W2080690349
W2109394753,W2103191076
W2076121388,W2005239383
W1999601906,W3112146077
W2092671652,W2092671652
W2762927724,W2041165251
W2762927724,W2042967268
W2762927724,W2120858359
W2762927724,W2124219912
W2762927724,W2140318323
W2762927724,W3122590584
W2732507270,W2028647322
W2121693806,W1975988209
W2121693806,W2013224160
W2974654430,W2799599776
W4206939661,W2491561548
W1965789842,W2005239383
W2117175136,W2063924082
W2122661599,W2032790012
W2122661599,W2152325011
W2122661599,W2164796933
W2122661599,W2478882249
W2887255123,W1996467444
W2887255123,W2067747004
W2768097304,W1978965223
W2996576139,W2013188415
W2996576139,W2409847658
W2085835482,W1978965223
W2085835482,W2045754505
W2085835482,W2071623515
W3022811260,W2791392080
W2328442316,W1501822150
W2328442316,W2151622697
W2888952159,W1228374368
W2888952159,W1995955620
W2400358494,W2022662662
W4224215355,W3166082166
W2803628503,W2018070689
W2803628503,W2053793291
W2803628503,W2091693862
W2153012040,W1984883915
W2153012040,W4235070608
W4380487830,W1993137124
W4380487830,W2746373786
W4380487830,W3066215315
W3016488393,W1974151580
W3016488393,W1982951176
W4283456941,W2791392080
W4319789985,W2797963475
W4319789985,W3153562439
W4319789985,W3169287112
W4319789985,W3172334817
W4319789985,W3177816388
W4311112901,W3087467051
W4385290652,W2275282125
W4385290652,W2887380133
W4385290652,W3123432385
W832438982,W2886274988
W2117999171,W2046854739
W2405179273,W1581280399
W2405179273,W2046854739
W2611906195,W2005747970
W2611906195,W2046854739
W2611906195,W2066343737
W2611906195,W2159699136
W1193278494,W2050777818
W3188288753,W2015579230
W3188288753,W2600247620
W3213282715,W2005747970
W3213282715,W2611906195
W2279347253,W2078418286
W2182669203,W1517172979
W2182669203,W1545813806
W2182669203,W1977138289
W2182669203,W2060322991
W3168601328,W3013858329
W3168601328,W4247237142
W2513522260,W2025857537
W2513522260,W2088239578
W2513522260,W2161365783
W2513522260,W2345030807
W2513522260,W2506291602
W2513522260,W3124715716
W2513522260,W607828736
W2513522260,W610200515
W2513522260,W646205782
W4210800018,W2346698801
W4210800018,W2606100091
W4380324824,W1986310091
W4380324824,W2024004899
W4380324824,W4282826229
W2888410921,W4252948923
W4368375790,W2046406166
W4368375790,W2618794414
W4368375790,W2890683924
W2055079601,W1499909721
W2055079601,W1987158875
W2055079601,W2050618063
W2055079601,W2090314063
W2055079601,W254044504
W2188494114,W1632873996
W2188494114,W1992066511
W2524380646,W590114534
W4390331381,W2500868125
W2944434307,W1486145806
W2944434307,W2500868125
W2944434307,W2725419772
W4296049516,W3199591841
W4385340720,W2024804953
W2171086910,W2129360294
W2171086910,W2145670664
W4288044875,W2932936863
W4288044875,W945600113
W4360609502,W2021916848
W4360609502,W2998937238
W4360609502,W3130396541
W2888953075,W1575400485
W2888953075,W1948977450
W2888953075,W1992393240
W2888953075,W2042411001
W2888953075,W2161365783
W4286483219,W2115005945
W2600570599,W2175115044
W2600570599,W2336312601
W2600570599,W2397415882
W2600570599,W2560205210
W2516072653,W2065980648
W2516072653,W2120936300
W2294328701,W1968781644
W2065852182,W2132972614
W2065852182,W604125021
W2060425733,W2053345191
W1974627021,W2060425733
W2521377596,W57789963
W1990593013,W2035244760
W1990593013,W2102411944
W2973436645,W137273592
W2973436645,W1957455578
W2973436645,W1995441753
W2973436645,W2013993250
W2973436645,W2065458237
W2973436645,W2477630864
W2973436645,W2481634146
W2973436645,W2887023428
W2973436645,W2897726917
W2973436645,W4298227785
W2973436645,W578560551
W2973436645,W591711272
W2973436645,W627985115
W2973436645,W628488542
W1964921310,W1486544985
W1964921310,W1516835424
W1964921310,W2082178632
W1964921310,W2123405189
W2548801081,W1566932819
W2548801081,W2266334047
W2548801081,W29718092
W2548801081,W627882268
W3201338169,W1965588130
W3201338169,W2994681136
W2182719709,W2260806741
W1946631369,W2056620660
W2169552832,W1588369937
W2169552832,W590378387
W3185395507,W238639587
W1976757960,W1533465628
W1976757960,W243790190
W4283400044,W1057807945
W4283400044,W2264268947
W4283400044,W2767686297
W4283400044,W2806910902
W2127011975,W1982148880
W2127011975,W2100951750
W1996011171,W1994110508
W1996011171,W2088133439
W3160232482,W3125355566
W3122448165,W566634371
W2158440326,W2034955981
W3196555469,W2034955981
W3196555469,W2051077224
W3196555469,W2080780810
W3196555469,W2120012230
W3196555469,W2158440326
W3196555469,W2715693319
W3196555469,W3022023797
W3196555469,W3048114418
W3196555469,W3150695253
W3196555469,W3196555469
W3196555469,W646205782
W3196555469,W656151715
W2896892373,W2169201386
W2171722074,W180133539
W2171722074,W1979389913
W2171722074,W2049365902
W2171722074,W2128072173
W2171722074,W2158440326
W2171722074,W3125869096
W4312046044,W2789619723
W4312046044,W3022023797
W3022023797,W1994500540
W3022023797,W2034955981
W3022023797,W2074137550
W3022023797,W2080780810
W3022023797,W2100741670
W3022023797,W2115601936
W3022023797,W2158440326
W3022023797,W2293201281
W3022023797,W74794663
W4283328737,W1984887950
W4283328737,W2102666888
W2256694903,W2058011026
W2256694903,W2150006672
W2256694903,W2155460814
W4211146712,W2067989547
W4211146712,W2158440326
W4211146712,W2553022719
W4310033138,W4205642342
W4310033138,W4221039021
W4310033138,W4223947352
W4283369885,W2620201613
W2898918201,W2586491674
W2999236964,W2803798116
W2411024539,W2050755773
W1995448514,W1558172898
W1995448514,W3121592188
W2323972502,W2009787161
W2323972502,W2133938585
W4366545226,W2121206382
W4366545226,W2887625848
W4366545226,W3015358316
