source,target
W1654308561,W1481464283
W2781928533,W2089722101
W2781928533,W2152417594
W2781928533,W2153432740
W2781928533,W2157314782
W2781928533,W2781928533
W2763338083,W2420992895
W2197981130,W2063006219
W2781571025,W2136189156
W2781571025,W2619081413
W2140112606,W2065517583
W3011019611,W1536044601
W2030001930,W2069873194
W2790154504,W3203241885
W3130064900,W2758627720
W3198974545,W3086566876
W4308867374,W2957197781
W4308867374,W3195237310
W2901612214,W1964767977
W3094623565,W3094623565
W2980025163,W2018845366
W2980025163,W2316340033
W2161240474,W140817809
W2161240474,W2189012184
W2913476647,W1502319633
W2913476647,W1536044601
W2913476647,W2039070293
W2913476647,W2053826827
W2913476647,W2314149568
W2403463550,W2137971524
W2403463550,W2149256502
W2403463550,W2171288582
W2100006577,W2109202307
W4291197258,W183669123
W4291197258,W2239611706
W4291197258,W2982670810
W4291197258,W3016465311
W4291197258,W4233206081
W4292408984,W2313163576
W4292408984,W2799548840
W4292408984,W4200563238
W2908087002,W2042565227
W2965468524,W1598969730
W2965468524,W2748836545
W2965468524,W4229898465
W2965468524,W647148152
W2056446604,W1501209756
W2056446604,W1605963737
W2056446604,W2050341675
W2056446604,W2153911181
W2918650383,W2316734425
W2010757330,W1581839061
W2010757330,W1964853225
W2010757330,W1991656230
W2889787954,W1512710012
W2889787954,W1989933934
W3129112424,W2777654165
W2321197095,W2157755173
W2633305956,W2468189978
W1516767510,W2160159737
W2169023159,W2049813446
W3004013375,W2342517426
W2736766341,W2320579728
W2591900046,W1988076578
W4313579998,W114724936
W4313579998,W2405155693
W4313579998,W3127041165
W2319257106,W2058350183
W3161766425,W2765921585
W3161766425,W2899982478
W2803536715,W2084595821
W2803536715,W2120470130
W2803536715,W2525032245
W4295814070,W2913352897
W2292622683,W1536044601
W2292622683,W2100982405
W2292622683,W2144519944
W2292622683,W2405277532
W3033954340,W1990653742
W2026528364,W1987098550
W2026528364,W2103711741
W2026528364,W2115034679
W2026528364,W2137971524
W2026528364,W2141664246
W2026528364,W2403747364
W2026528364,W2469377571
W2945081818,W2770888888
W3195786101,W3031266243
W3195786101,W3091904990
W1590374033,W2156697474
W1590374033,W2168252394
W3186597657,W1967597150
W3186597657,W2282932224
W3186597657,W4241783006
W2967177578,W2553595009
W2967177578,W2782864384
W2138418442,W1711578023
W2138418442,W2142916649
W1970422073,W137704929
W1970422073,W1982902812
W2101777505,W2161281963
W2952420327,W2027867395
W2113664530,W2029421905
W2113664530,W2134408597
W2350666581,W1963636953
W2041103436,W2166451215
W3107948719,W2760248567
W2969522230,W2076175478
W2969522230,W2194137905
W2922290648,W2064366042
W2922290648,W2115324825
W2922290648,W2119720342
W2912881127,W2164134920
W2962147441,W2070602554
W2126698889,W2043040885
W2126698889,W2106988857
W3092290756,W2014922020
W3092290756,W2527761154
W4200452680,W3023310414
W2144863137,W2165693726
W2042625093,W639645156
W2135011628,W1505313636
W2980164785,W2037036674
W2980164785,W2136344059
W1552073090,W1986991300
W1552073090,W2156697474
W2977672668,W1983547836
W2977672668,W2772748748
W3124640533,W2609081203
W2897329027,W1487999592
W2897329027,W2141781790
W2897329027,W2188071365
W2981787454,W1993538135
W3215923828,W3136164744
W2995453491,W1503923094
W2889056484,W2007332375
W2889056484,W2007845277
W3140143340,W2115093330
W3140143340,W2575877070
W3202494626,W2322003322
W3202494626,W2896065168
W3202494626,W3001767005
W3202494626,W3012341764
W3202494626,W3111981034
W3202494626,W3123290722
W4224096927,W3037169773
W4224096927,W3080484253
W1745677828,W1602896123
W1745677828,W2017695131
W1745677828,W2021924577
W1745677828,W2076165220
W1510208811,W1515104148
W1510208811,W2078540475
W1510208811,W2130293043
W1510208811,W2393211122
W1510208811,W2402038841
W2619081413,W2136189156
W3188545342,W3028076230
W2966121451,W2413206054
W3205623193,W3023310414
W3205623193,W3031266243
W3205623193,W3038918455
W3205623193,W3039175835
W3205623193,W3091904990
W3205623193,W3111421574
W3205623193,W3165851371
W2155319648,W1590564036
W2155319648,W1601305942
W2155319648,W2009000530
W2155319648,W2044470330
W2168478564,W1502319633
W2168478564,W2104015392
W2168478564,W2121702499
W2168478564,W2127611226
W2168478564,W2405155693
W4311809663,W2021168884
W2415239558,W2102238695
W4308444410,W3119065936
W4308444410,W3132264034
W4308444410,W3156370212
W4308444410,W3175951741
W4308444410,W3209608194
W4308444410,W4220772160
W4225001690,W3131933401
W4225001690,W3156370212
W3049706480,W1536044601
W3049706480,W2531683991
W2911964105,W2043936016
W4223432718,W1199118532
W1967714852,W2783895888
W2115274344,W2048824771
W2359846977,W2414739187
W2359846977,W55675784
W2784750346,W1537886901
W2784750346,W2600416724
W2086147764,W2086147764
W2086147764,W2130055526
W4205565406,W3132264034
W4210605067,W1969232296
W4210605067,W1999276750
W4210605067,W213730992
W2220074841,W1596433456
W3216022038,W2805356231
W3216022038,W2885948706
W4211227639,W1586573339
W4211227639,W1855173154
W4211227639,W2058309046
W4211227639,W2062925347
W4211227639,W2177528794
W4211227639,W2887496294
W4211227639,W4249719366
W3174197295,W2944011900
W2748300067,W2028468119
W2147005765,W2041103436
W2147005765,W2139599109
W2147005765,W2166451215
W3081975136,W2137630169
W3081975136,W3081975136
W2183724757,W2073133395
W2058346282,W380444535
W3046392977,W1550718837
W3046392977,W2026656132
W3046392977,W2897885130
W1982902812,W2052670356
W1982902812,W2134408597
W2046989004,W1614038205
W2106293748,W2078442841
W4312195531,W1982610380
W2953904055,W2014763947
W4224238022,W2730582036
W4224238022,W2907715469
W4224238022,W2984164921
W3165962758,W2994926176
W2948390765,W1491757331
W2948390765,W2092153621
W3126480930,W2619180946
W2747323679,W1582494390
W2747323679,W2330548870
W4200201325,W2938252403
W2189012184,W2418324093
W4234092942,W1207937357
W4234092942,W2043610318
W4234092942,W2049840418
W4234092942,W2068983527
W4234092942,W2516843997
W4234092942,W2617895551
W4234092942,W4251725808
W4234092942,W640211172
W3000158920,W1523658873
W3000158920,W2015089291
W2981801353,W2090224533
W2981801353,W2519891427
W3200764004,W3119624654
W3012341764,W2099938748
W3012341764,W2887567472
W2696377641,W2106403698
W2399719755,W2082806867
W4280512269,W3023310414
W4280512269,W3028754077
W4280512269,W3133811518
W2047215472,W1980359409
W2047215472,W2044000087
W2047215472,W2098197289
W2888952243,W2031555203
W2888952243,W2259668467
W2888952243,W2472644866
W2888952243,W2517267656
W4309852399,W3118529832
W4309852399,W3126533497
W4309852399,W4291378157
W2616310200,W2071954286
W2000440578,W2181406495
W4200544262,W2319257106
W4200544262,W2790183882
W4200544262,W3028076230
W4200544262,W3046839855
W4200544262,W3049063564
W4200544262,W3201411446
W2945885163,W2753622481
W2442300718,W2123127019
W4312172539,W2165636564
W2810500775,W1568515659
W2973083811,W2152932984
W2021932190,W1966101603
W2021932190,W2056290178
W3036162815,W2777654165
W2613240145,W1587509709
W2046946786,W2013060336
W4211218231,W3107948719
W2610416900,W1980398396
W3155069592,W3049101577
W3011748943,W2108653141
W3011748943,W2110378035
W3011748943,W2127611226
W3011748943,W2236095488
W3011748943,W2288453794
W3011748943,W3004013375
W4283697032,W2800465108
W4283697032,W2979423096
W2924095456,W1965324235
W2761773890,W2080332121
W2943912372,W2125447440
W2943912372,W2758627720
W2893854416,W2048368032
W2893854416,W2321836295
W2410331030,W2464530677
W2145289518,W2171241908
W2058258437,W2058350183
W1614038205,W2132389870
W1994057745,W2028041427
W1994057745,W2472141925
W2033283416,W599642450
W143489557,W2017046986
W143489557,W2099681651
W4225930675,W3185237404
W2235589079,W2497191424
W2468844661,W1486974954
W1964800603,W2159884339
W2806542001,W2006434809
W2806542001,W2273256132
W2806542001,W2416609019
W2806542001,W2755932089
W4211003356,W4211027582
W4211003356,W4281625144
W3201543410,W3023310414
W3191266617,W2341509653
W3009674684,W2943314071
W2735164153,W1907784450
W2735164153,W2004947322
W3192151078,W2900875520
W3192151078,W3020095550
W2356054033,W2138247062
W2356054033,W2561821202
W4294168201,W213730992
W2598275467,W2001790159
W2598275467,W2478493182
W2767251423,W114724936
W2886978680,W1967331856
W3210672700,W2904489653
W186042909,W2112462535
W4210507002,W3092801624
W4210507002,W3109918956
W3080680317,W1502319633
W3080680317,W2314149568
W3109192878,W3109192878
W2476853960,W2043610318
W2476853960,W3125482838
W2476853960,W346202048
W2901430669,W2153959942
W3129292664,W2807605139
W2903985182,W2406662742
W2765474138,W2011228819
W2765474138,W2056290178
W2765474138,W2115324825
W2765474138,W2159843276
W4291156617,W3192667149
W2518055840,W1537886901
W2518055840,W1601305942
W2518055840,W587750324
W2518055840,W608648777
W2518055840,W630598265
W2518055840,W658299025
W3142769238,W2076940643
W3142769238,W2125447440
W3142769238,W2415239558
W4384457692,W4381550225
W2898435909,W2091423917
W2898435909,W2162346742
W2740550617,W1965967296
W1541165732,W1481623920
W3006806391,W2267565439
W3176292960,W3011663503
W2555785458,W2024840131
W2555785458,W2045684563
W2555785458,W607844789
W4226413058,W1541668120
W4226413058,W2083905270
W4226413058,W2899829047
W2202847397,W1977442593
W3196302131,W3031266243
W3196302131,W3037169773
W3196302131,W3081083860
W3013159146,W2136814988
W3013159146,W2952420327
W2973458006,W2404416857
W2973458006,W2973458006
W4381571685,W1921934709
W2014672850,W1966723896
W2014672850,W2161281963
W2014672850,W2413300551
W2734357645,W2085065262
W2734357645,W2168856890
W2181334799,W1821893735
W4280650150,W3162090140
W4205612545,W3017197322
W4205612545,W3181568770
W4205612545,W3185237404
W3096410478,W4248183463
W3161809996,W2807605139
W3161809996,W3010651083
W1983709172,W1983709172
W2160892048,W1552669937
W2160892048,W2040718682
W4224297033,W2944703644
W2083488385,W655523008
W3196752886,W2029421905
W4288695810,W1603638706
W4288695810,W2058491323
W4288695810,W3135621100
W4220769640,W2783289808
W4220769640,W2939910858
W4220769640,W2988473489
W4220769640,W3126092144
W2171241908,W2401954724
W2171241908,W2410051813
W4210715252,W2754315030
W4210715252,W3094516746
W3044188009,W2313093357
W3044188009,W2921308662
W1562903436,W2783620494
W4210989338,W2008564869
W4210989338,W2133239723
W2103300306,W1980115859
W4382877933,W3171967863
W3172221727,W2004838981
W3172221727,W2507622306
W3172221727,W2904508294
W3172221727,W4243251670
W4200305110,W2561088184
W4200305110,W3161766425
W3195943489,W3031266243
W3195943489,W3039175835
W75713901,W2135171800
W3213148829,W2806595344
W4295906132,W3092246932
W4295906132,W3138715807
W4295906132,W3196663005
W4200470505,W2887567472
W4200470505,W2974080345
W4200470505,W2982301261
W4311352493,W2091642763
W3210217201,W2891078159
W2339031618,W2137971524
W2339031618,W2739584644
W2589612955,W2122015387
W2589612955,W2165025820
W3111848292,W1503310022
W2552864113,W2116928607
W2552864113,W82423840
W3209017172,W2042565227
W3209017172,W2527761154
W3209017172,W3092698015
W1806698980,W2417990618
W2990139761,W2120570341
W4313201172,W2170843609
W4313201172,W4205512947
W4220876869,W1673587530
W4220876869,W1929348005
W4311975450,W2767926229
W4311975450,W2921818737
W4280530393,W1508428810
W4280530393,W2345153515
W2964372507,W2141339993
W2033587199,W2095261864
W1741385572,W2145090272
W2768762487,W2113010022
W2768762487,W2508228814
W3165080539,W1795864642
W3165080539,W2759846990
W3165080539,W3091815484
W3121872886,W1602896123
W3121872886,W2047476665
W3121872886,W2092153621
W2612811144,W1886643234
W2612811144,W1982610380
W2080494703,W2082061827
W4297965536,W2910808718
W4225463132,W2922290648
W4378373168,W4281261532
W2897596616,W2125447440
W3103739000,W1550420789
W3103739000,W2011478570
W3103739000,W2064051272
W3103739000,W2748534625
W3103739000,W2891078159
W2419033484,W3111463991
W4210500478,W2468376997
W4210500478,W2808964162
W4210500478,W3014657064
W4210500478,W4210500478
W2150137626,W1974154791
W2098097477,W2101931481
W4300358544,W2051449449
W4311003873,W4224096927
W4229020485,W2133049529
W4229020485,W2188554598
W2590197402,W2077726288
W2590197402,W2756964307
W3149675560,W2140702655
W3149675560,W2149093594
W2884458540,W2155892900
W2904930630,W1973344276
W2904930630,W2017763479
W2904930630,W2029421905
W2904930630,W2133239723
W2904930630,W2512156277
W2904930630,W2588448961
W2187500390,W2056968186
W2890740793,W1999824890
W4308119351,W2565162392
W4308119351,W3120903819
W4321600668,W2979860189
W2067013307,W2148147743
W4312948550,W2807605139
W2729535533,W1536044601
W2729535533,W2076173401
W4313165287,W2014922020
W4313165287,W2067624412
W2551921474,W2041547733
W2551921474,W2156697474
W2551921474,W2156792957
W4328025162,W4328025162
W3091988410,W2041320124
W3091988410,W2087834797
W3091988410,W2125447440
W4321374589,W4280630729
W3190611956,W2801932976
W2805473095,W4247637543
W2999812497,W2089970754
W2999812497,W2162540340
W4296096202,W2950569057
W4296096202,W3133910240
W2506464639,W4251318650
W1997228312,W2015960403
W1997228312,W2030480282
W1997228312,W2050755773
W1997228312,W2063487584
W1997228312,W2091033357
W3107277698,W1986850205
W3107277698,W2536287647
W3107277698,W2573454326
W2770136217,W2291760192
W2787776804,W2008901097
W335362148,W1481623920
W335362148,W335362148
W2912169792,W2079784099
W3175203212,W1970422073
W3175203212,W75539850
W3195399454,W2908087002
W3115022978,W1581198763
W4292838387,W3010096538
W4292838387,W3119065936
W4292838387,W3146122827
W4292838387,W3170321466
W4310500660,W3120903819
W3008443561,W2156645523
W2948317544,W2046503379
W2948317544,W2184311838
W4210323509,W3088819619
W4210323509,W3121237459
W4210323509,W3193684393
W3164698384,W2155340849
W3164698384,W3011253725
W3141848815,W1030356806
W3141848815,W1917045516
W3141848815,W2767252143
W3217665953,W3161720875
W4320080430,W2939259507
W2972311264,W2056963687
W2972311264,W4388387817
W4288052533,W3160694251
W2909594056,W2834045566
W3046334108,W1561151928
W3046334108,W2889855186
W2800237679,W2022289056
W2800237679,W2058717948
W2800237679,W2081487223
W2800237679,W2092153621
W2800237679,W2340618251
W2800237679,W2570279568
W3214750250,W2053826827
W3214750250,W2921818737
W3214750250,W3046911511
W3123744334,W2117403523
W3123744334,W3004631135
W3216047683,W2944703644
W3181568770,W3023310414
W2549505295,W2549505295
W2907506548,W1966723896
W2907506548,W2125447440
W2907506548,W2161281963
W2907506548,W2415239558
W1964580098,W1987618278
W1964580098,W2077132246
W1964580098,W2288883644
W1964580098,W2322656249
W2587627897,W2328066143
W2587627897,W2484450317
W2587627897,W3125211801
W2587627897,W4230730884
W1901110627,W2084919516
W4283031931,W3080781922
W4283031931,W3119065936
W4283031931,W3132264034
W4283031931,W3156243989
W4283031931,W3158276912
W4283031931,W3165851371
W4283031931,W3182880983
W4283031931,W3196435842
W4283031931,W4200555465
W3176248334,W2000245776
W3176248334,W2008254734
W3176248334,W2038595045
W3176248334,W2748040906
W2006678223,W141149335
W2006678223,W2131630171
W3170267015,W2216611765
W4321375377,W2060881620
W4321375377,W2069873194
W4321375377,W2955232223
W4321375377,W4313519255
W4220853807,W2078907453
W2999068329,W4301056702
W2611367049,W82423840
W3176319877,W2066328616
W4296835385,W2619081413
W4296835385,W2944703644
W4296835385,W2977672668
W2035470913,W2140384154
W1601070689,W2025797953
W4361204314,W1654308561
W4361204314,W2978105739
W4361204314,W3024093792
W3111024970,W3001511321
W4313461936,W4200563238
W4313461936,W4292408984
W2153244234,W1692731550
W4322630159,W1970056704
W4322630159,W1984251944
W4322630159,W2095225049
W4322630159,W2166736164
W4322630159,W3011770637
W4322630159,W4291378157
W3028819275,W4235011711
W3028819275,W4236496489
W2920962889,W2110378035
W4311040525,W2151338348
W2342517426,W1972943362
W2980814333,W2025736027
W2980814333,W2033283416
W4292843530,W2799960995
W4292843530,W2803536715
W4281664526,W1973226070
W4281664526,W81107051
W4306939337,W4306939337
W3139802721,W1583637660
W2913921658,W2017014181
W2913921658,W2188150979
W2913921658,W220413908
W2913921658,W3133213786
W4321502654,W4226467361
W3087362954,W3008125068
W3087362954,W3014652502
W3196298615,W1552073090
W3196298615,W2405417765
W3196298615,W3124372774
W3206377171,W2014922020
W3206377171,W2058717948
W3206377171,W2139311028
W3206377171,W2887567472
W1966186037,W1990787605
W1966186037,W2066891964
W4210770858,W658299025
W2888791071,W1972121931
W4280562356,W1995774514
W4280562356,W2405155693
W4280562356,W2639306203
W4280562356,W3187499310
W1928520225,W1964727376
W1928520225,W2509527898
W3136227546,W2082258563
W3214619206,W3048733486
W4283326378,W2026528364
W4283326378,W2171288582
W4283326378,W3092246932
W4283326378,W3138715807
W4296475125,W4220913751
W4366091036,W1552073090
W4366091036,W1654308561
W4366091036,W1985984780
W4366091036,W2074130622
W4366091036,W2243157599
W4366091036,W2759094407
W4366091036,W2807605139
W4366091036,W2978105739
W4366091036,W3013159146
W4366091036,W3024093792
W4366091036,W3133702236
W4366091036,W3215923828
W4366091036,W4297787655
W4366091036,W4366091036
W3004432094,W44407533
W4206111218,W2911107424
W4206111218,W3034223558
W4206111218,W3152670969
W2885548949,W2070902373
W2885548949,W2100899792
W3213511912,W2181915981
W3213511912,W2254159621
W3213511912,W2781571025
W3213511912,W2944703644
W3213511912,W3014667074
W3213511912,W3023310414
W3213511912,W3114308187
W4367181050,W1973014506
W4367181050,W2890683924
W4367181050,W2962147441
W4367181050,W3172221727
W4367181050,W4315643331
W4322719639,W2510874393
W4322719639,W3193915413
W4293552950,W2005747970
W3021725204,W2765308083
W2898444989,W2087834797
W2801031176,W2801031176
W2980076979,W1602932303
W2980076979,W2112124608
W2980076979,W2171858103
W2974791065,W2025030965
W4280522703,W2962929170
W4280522703,W3028076230
W4283716303,W2760248567
W4283716303,W3107948719
W4283716303,W4211218231
W2346403237,W563248481
W4220764537,W2046148920
W4220764537,W2160145019
W3175309176,W2754315030
W4312195799,W3133910240
W4283586913,W3034067068
W3005417523,W2014672850
W3005417523,W2071059738
W3174186298,W2090879974
W4367182657,W3089392754
W2759094407,W2405155693
W3173574614,W3004921905
W3173574614,W3009267807
W3139378440,W1990899293
W3139378440,W1997407425
W3139378440,W2152932984
W3137723442,W2917599484
W3121017963,W2767251423
W4308885951,W2108010900
W4308885951,W3118132564
W3209240599,W2021168884
W3209240599,W2557567064
W3209240599,W2568304936
W3209240599,W2614065796
W3209240599,W2995090525
W3209240599,W3120903819
W2892722040,W2130800148
W3042524404,W2001022964
W3161960892,W2163313196
W4322492253,W3003191420
W4300861207,W1990899293
W4300861207,W2760248567
W4300861207,W2979379215
W4300861207,W3119853280
W4300861207,W3139378440
W1491886860,W2464530677
W3198087584,W2093258374
W3198087584,W2615876012
W2766417277,W2766417277
W4386444253,W4223449642
W2576197184,W2135171800
W3210823253,W2978105739
W3210823253,W3039708592
W3138769430,W2991967297
W4224217774,W2497200243
W2975084412,W2014763947
W2975084412,W2069355140
W2975084412,W2069756171
W2975084412,W2804122654
