source,target
W2811219197,W1578954556
W2811219197,W1589656059
W2811219197,W1974024282
W2811219197,W1984738188
W2811219197,W1986286171
W2811219197,W2008772732
W2811219197,W2009852955
W2811219197,W2018999991
W2811219197,W2023528362
W2811219197,W2028429353
W2811219197,W2034823574
W2811219197,W2037572111
W2811219197,W2046034892
W2811219197,W2079442174
W2811219197,W2096502791
W2811219197,W2100016968
W2811219197,W2102620549
W2811219197,W2106298853
W2811219197,W2107441710
W2811219197,W2114484185
W2811219197,W2114973970
W2811219197,W2149080529
W2811219197,W2162141368
W2811219197,W2162994649
W2811219197,W2198448282
W2811219197,W2202704895
W2811219197,W2288386278
W2811219197,W2304245061
W2811219197,W2313695024
W2811219197,W2473753498
W2811219197,W2490944201
W2811219197,W2492573640
W2811219197,W2593853395
W2811219197,W2625279536
W2811219197,W2765366055
W2811219197,W2794199523
W2811219197,W3122807571
W2811219197,W4248298165
W2811219197,W582350109
W2811219197,W802483337
W2907309856,W1505028990
W2907309856,W1512857150
W2907309856,W1524340814
W2907309856,W1544124124
W2907309856,W1569334360
W2907309856,W1594061082
W2907309856,W1605916864
W2907309856,W1658908529
W2907309856,W1915559712
W2907309856,W1972795616
W2907309856,W2007774727
W2907309856,W2023391712
W2907309856,W2061517163
W2907309856,W2102435983
W2907309856,W2111409558
W2907309856,W2115756046
W2907309856,W2142716492
W2907309856,W2143567772
W2907309856,W2149359816
W2907309856,W2150566637
W2907309856,W2181527007
W2907309856,W2284386481
W2907309856,W2488733396
W2907309856,W2544639556
W2907309856,W2989265742
W2907309856,W98249849
W4238503750,W101247415
W4238503750,W1536725922
W4238503750,W1595763923
W4238503750,W1942700395
W4238503750,W1965283322
W4238503750,W1966650434
W4238503750,W1976806648
W4238503750,W1982493426
W4238503750,W2005377604
W4238503750,W2013371867
W4238503750,W2058489631
W4238503750,W2065589094
W4238503750,W2078495574
W4238503750,W2084258488
W4238503750,W2090393860
W4238503750,W2098004445
W4238503750,W2147485103
W4238503750,W2169020872
W4238503750,W2276680843
W4238503750,W2400860335
W4238503750,W2476229296
W4238503750,W2489139436
W4238503750,W2733774282
W4238503750,W2798370589
W4238503750,W2905102435
W4238503750,W2911449656
W4238503750,W2978958679
W4238503750,W4235480998
W4238503750,W4237363020
W4238503750,W4250973446
W4238503750,W4254380393
W4238503750,W4300868897
W4238503750,W4388183802
W4238503750,W606042820
W4238503750,W618579510
W4221045019,W1759196683
W4221045019,W2032458753
W4221045019,W2184785902
W4221045019,W2411713422
W4221045019,W2466026610
W4221045019,W2563392467
W4221045019,W2958846186
W4221045019,W2966550475
W4221045019,W3016336652
W4221045019,W3021502717
W4221045019,W3036685517
W4221045019,W3111255098
W4289253181,W1880988989
W4289253181,W2274250785
W4289253181,W4244441655
W4289253181,W4255293327
W4289253181,W570807999
W2151465763,W1913915712
W2151465763,W1969036948
W2151465763,W1973702805
W2151465763,W1993237309
W2151465763,W2001149600
W2151465763,W2007668282
W2151465763,W2033611072
W2151465763,W2117880268
W2151465763,W2132954288
W2151465763,W2145397506
W2151465763,W2163332107
W2151465763,W2165128786
W2151465763,W2179804487
W2151465763,W2256934457
W2151465763,W2267582549
W2151465763,W2276881046
W2151465763,W2283600038
W2151465763,W2366124344
W2151465763,W2409172582
W2151465763,W2434962006
W2151465763,W2748435152
W2151465763,W3024123175
W2151465763,W4317564093
W2151465763,W51157197
W2151465763,W846240241
W2151465763,W8507877
W2806766275,W1486135797
W2806766275,W1617145133
W2806766275,W1861207882
W2806766275,W1938560914
W2806766275,W1965581358
W2806766275,W1966761572
W2806766275,W1976209122
W2806766275,W1993705101
W2806766275,W1998893027
W2806766275,W2009933994
W2806766275,W2010266837
W2806766275,W2019541198
W2806766275,W2022084560
W2806766275,W2029905732
W2806766275,W2030824378
W2806766275,W2036826673
W2806766275,W2037417051
W2806766275,W2039811614
W2806766275,W2051410194
W2806766275,W2051704074
W2806766275,W2057522618
W2806766275,W2058948828
W2806766275,W2065974664
W2806766275,W2072525595
W2806766275,W2074821192
W2806766275,W2077540368
W2806766275,W2084204159
W2806766275,W2087690178
W2806766275,W2088567980
W2806766275,W2089233347
W2806766275,W2090910599
W2806766275,W2098465498
W2806766275,W2118378949
W2806766275,W2118891912
W2806766275,W2124481403
W2806766275,W2140238947
W2806766275,W2140473247
W2806766275,W2140616116
W2806766275,W2147909359
W2806766275,W2153766751
W2806766275,W2156428352
W2806766275,W2157247334
W2806766275,W2160397887
W2806766275,W2165937022
W2806766275,W2166459798
W2806766275,W2167975607
W2806766275,W2172036914
W2806766275,W2219510999
W2806766275,W2225714073
W2806766275,W2230028997
W2806766275,W2258744864
W2806766275,W2312603040
W2806766275,W2320223101
W2806766275,W2463056037
W2806766275,W2467410872
W2806766275,W2568386537
W2806766275,W2611041077
W2806766275,W2735981366
W2806766275,W2757049096
W2806766275,W3025238321
W2806766275,W4255842312
W2806766275,W89296745
W1558713182,W1581973842
W1558713182,W1591973477
W1558713182,W1605741828
W1558713182,W1836765585
W1558713182,W1968223252
W1558713182,W1974491836
W1558713182,W2019045583
W1558713182,W2042553374
W1558713182,W2044875015
W1558713182,W2077742508
W1558713182,W2082252945
W1558713182,W2126334589
W1558713182,W2133417759
W1558713182,W2170805839
W1558713182,W2172268965
W1558713182,W2175723801
W1558713182,W2312363820
W1558713182,W2328035621
W1558713182,W2332601172
W1558713182,W235753061
W1558713182,W2753514269
W1558713182,W3125722004
W1959923361,W1932757803
W1959923361,W1973628995
W1959923361,W1974977139
W1959923361,W1994570611
W1959923361,W2016382728
W1959923361,W2048488081
W1959923361,W2076466574
W1959923361,W2144452471
W1959923361,W2166033483
W1959923361,W2333464468
W1959923361,W4302853952
W4387498924,W1482244801
W4387498924,W1498744932
W4387498924,W1506150025
W4387498924,W1531509239
W4387498924,W1553327752
W4387498924,W1581207095
W4387498924,W1587664098
W4387498924,W165825533
W4387498924,W1954998623
W4387498924,W1968195079
W4387498924,W1973028484
W4387498924,W1999893321
W4387498924,W2000225228
W4387498924,W2010721687
W4387498924,W2019830808
W4387498924,W2023867566
W4387498924,W2029410120
W4387498924,W2048553839
W4387498924,W2067240146
W4387498924,W2070094935
W4387498924,W2083088673
W4387498924,W2085605823
W4387498924,W2087246389
W4387498924,W2090552208
W4387498924,W2093698142
W4387498924,W2159306398
W4387498924,W2159677632
W4387498924,W2162739331
W4387498924,W2171236016
W4387498924,W2178048914
W4387498924,W2182968024
W4387498924,W2184138433
W4387498924,W2187093723
W4387498924,W2188052039
W4387498924,W2520712949
W4387498924,W2522837983
W4387498924,W2534118662
W4387498924,W2605866027
W4387498924,W2734619004
W4387498924,W2739575970
W4387498924,W2769706140
W4387498924,W2771239937
W4387498924,W2773265811
W4387498924,W2789946052
W4387498924,W2799985046
W4387498924,W2896415945
W4387498924,W2913372729
W4387498924,W2913495338
W4387498924,W2921142887
W4387498924,W2946656127
W4387498924,W3003330835
W4387498924,W3110886950
W4387498924,W3122877168
W4387498924,W3124061660
W4387498924,W3137684483
W4387498924,W3151983779
W4387498924,W3159378964
W4387498924,W4233763220
W4387498924,W4236523229
W4387498924,W4251637127
W4387498924,W4280572674
W4387498924,W52375251
W2007196415,W1997196831
W2007196415,W2018732200
W2007196415,W2034286619
W2007196415,W2054887235
W2007196415,W2122618244
W2007196415,W2330659185
W2007196415,W2620981661
W2007196415,W2798208154
W2007196415,W4244800948
W2007196415,W4301376330
W2007196415,W560023660
W2072372100,W150167540
W2072372100,W1626459825
W2072372100,W1851537601
W2072372100,W1990106034
W2072372100,W1991595306
W2072372100,W2024268333
W2072372100,W2030877466
W2072372100,W2031498903
W2072372100,W2038421682
W2072372100,W2044012894
W2072372100,W2051590681
W2072372100,W2067599930
W2072372100,W2076063894
W2072372100,W2086927324
W2072372100,W2107785299
W2072372100,W2107840167
W2072372100,W2132336423
W2072372100,W2135736577
W2072372100,W2153475016
W2072372100,W2159287947
W2072372100,W2159520196
W2072372100,W2179672210
W2072372100,W2234412197
W2072372100,W2317158840
W2072372100,W24397998
W2072372100,W2586324635
W2072372100,W2789539759
W2072372100,W3041809646
W2072372100,W3144241300
W2072372100,W3154739585
W2072372100,W4232420289
W2072372100,W4236035678
W2072372100,W4238696989
W2072372100,W4248453803
W2072372100,W577517986
W2072372100,W584685656
W2072372100,W613801451
W2072372100,W76261170
W2072372100,W7920335
W2072372100,W9272026
W3111458398,W106616932
W3111458398,W1126370601
W3111458398,W1480419717
W3111458398,W1535919260
W3111458398,W1967720109
W3111458398,W1975238498
W3111458398,W2002482272
W3111458398,W2004099285
W3111458398,W2017560353
W3111458398,W2054349960
W3111458398,W2093891969
W3111458398,W2103762985
W3111458398,W2107031757
W3111458398,W2138361597
W3111458398,W2139309800
W3111458398,W2148806335
W3111458398,W2169528496
W3111458398,W2179056879
W3111458398,W2238062353
W3111458398,W2343191407
W3111458398,W2474657746
W3111458398,W2474697554
W3111458398,W2593364664
W3111458398,W2766513681
W3111458398,W2791100499
W3111458398,W2792032944
W3111458398,W2801113356
W3111458398,W2908379764
W3111458398,W2914147813
W3111458398,W2914622439
W3111458398,W2978113936
W3111458398,W2987680561
W3111458398,W3011511169
W3111458398,W3046740147
W3111458398,W4240402692
W3111458398,W4400020779
W1997555271,W1488688355
W1997555271,W2795967900
W1997555271,W4233834473
W2966066823,W1976259655
W2966066823,W1984284627
W2966066823,W1989453007
W2966066823,W1996074214
W2966066823,W1999652224
W2966066823,W2069543030
W2966066823,W2160885942
W2966066823,W2188859956
W2966066823,W2289846838
W2966066823,W2534721678
W2966066823,W2572012772
W2966066823,W4232403618
W2966066823,W94123527
W1999792100,W2016233740
W4380484820,W1540739651
W4380484820,W1545460766
W4380484820,W1735139684
W4380484820,W186803216
W4380484820,W1981381864
W4380484820,W2058809656
W4380484820,W2065239890
W4380484820,W2106096361
W4380484820,W2337009756
W4380484820,W2559671271
W4380484820,W2760154708
W4380484820,W2767472213
W4380484820,W2777468088
W4380484820,W2790261359
W4380484820,W2806697976
W4380484820,W2898210674
W4380484820,W2901398649
W4380484820,W2921008436
W4380484820,W2944842841
W4380484820,W2949772220
W4380484820,W2950002204
W4380484820,W2957916251
W4380484820,W2958976646
W4380484820,W2989437609
W4380484820,W2990290820
W4380484820,W2992012003
W4380484820,W3005974257
W4380484820,W3021047581
W4380484820,W3023865532
W4380484820,W3032957428
W4380484820,W3035232624
W4380484820,W3043480058
W4380484820,W3108051016
W4380484820,W3124360038
W4380484820,W3156886503
W4380484820,W3164423877
W4380484820,W4237180560
W4237671260,W1550773856
W4237671260,W1926270857
W4237671260,W1969884472
W4237671260,W1979017898
W4237671260,W2014984081
W4237671260,W2038289820
W4237671260,W2093970188
W4237671260,W2104243611
W4237671260,W2113113042
W4237671260,W2117715563
W4237671260,W2327219778
W4237671260,W2512537237
W4237671260,W2728990317
W4237671260,W2894962713
W4237671260,W2949609519
W4237671260,W3047296772
W4237671260,W3083301463
W3205672385,W1002122624
W3205672385,W116483361
W3205672385,W1603489068
W3205672385,W1608712624
W3205672385,W1920463735
W3205672385,W1963658303
W3205672385,W1973041216
W3205672385,W1998511687
W3205672385,W1999910162
W3205672385,W2008103021
W3205672385,W2008452392
W3205672385,W2011914511
W3205672385,W2012258979
W3205672385,W2018010503
W3205672385,W2044545727
W3205672385,W2055469337
W3205672385,W2069688659
W3205672385,W2078785246
W3205672385,W2105891052
W3205672385,W2117029321
W3205672385,W2121001699
W3205672385,W2148174543
W3205672385,W2151187076
W3205672385,W2435938896
W3205672385,W2492823589
W3205672385,W2548695187
W3205672385,W2889610717
W3205672385,W2900507503
W3205672385,W2938795659
W3205672385,W3032945577
W3205672385,W3081133407
W3205672385,W3106754184
W3205672385,W3116974804
W3205672385,W3136965416
W3205672385,W40526534
W3205672385,W4243101997
W3205672385,W4253362608
W3205672385,W659063491
W1944254204,W2178922726
W2998399484,W1795505958
W2998399484,W2325791256
W2998399484,W2520603421
W2998399484,W2522093151
W2998399484,W2607155039
W2998399484,W2607272746
W2998399484,W2619785189
W2998399484,W2993646230
W2998399484,W3135340081
