id,title,domain
W2811219197,Water footprint and economic water productivity of sheep meat at farm scale in humid and semi-arid agro-ecological zones,Physical Sciences
W2064837580,The Dreyfus Affair in Retrospect: Review Essay,Social Sciences
W612599693,The anthropology of religious charisma : ecstasies and institutions,Social Sciences
W3028487460,Iranian Capitalism,Social Sciences
W2907309856,Coping with suicide’ burning scar’s disfigurement among Kurdish women in Iraq (Kurdistan),Social Sciences
W4238503750,"Israeli Ethiopian mothers' perceptions of their children's mild mental retardation and/or emotional disorder, mothers' ethnic identity, and use of social services",Social Sciences
W2012390216,A Survey of Modernization of Muslim Family Law,Social Sciences
W4233858671,"Irene L. Gendzier. &lt;italic&gt;Notes from the Minefield: United States Intervention in Lebanon and the Middle East, 1945–1958&lt;/italic&gt;. New York: Columbia University Press. 1997. Pp. xxii, 470. $39.95",Social Sciences
W291259633,Legitimacy and Hafez al-Asad,Social Sciences
W4221045019,COVID-19 Vaccination Among the Arab Bedouin Population: Lessons Learned From a Minority Population,Social Sciences
W2144948086,Seçilmiş Devlet Liselerinde ve Özel Liselerde Örgütsel Öğrenme Süreçlerinin Nitel Bir Değerlendirmesi,Social Sciences
W4289253181,"Distribution of Aphanius dispar dispar (Rüppell, 1829) populations in Iran, with a new record from western Iran (Actinopterygii: Cyprinodontidae)",Life Sciences
W2539044155,"Investigating stratification within higher education through examining the status of students in different academic majors in terms of cultural, social and economic capital",Social Sciences
W1991666348,Language and the politics of sexuality: lesbians and gays in Israel - By Erez Levon,Social Sciences
W2151465763,The Effect of Path and Beginning Time of Ascending on Incidence of Acute Mountain Sickness around Mount Damavand in Iran (5671 m),Life Sciences
W2806766275,"The prevalence of substance use among Russian, Somali and Kurdish migrants in Finland: a population-based study",Social Sciences
W1558713182,Adaptation et conditions de formalisation des paiements pour services environnementaux pour la conservation des pâturages collectifs au Maroc,Social Sciences
W4253921274,Rebuilding Cultural Identity,Unknown
W1959923361,Impact of Selected Historical Events on the Income-Based Distribution of Terrorism from the Rise of Fundamentalist Terrorism to the Iraq War1,Social Sciences
W4387498924,"Factors Influencing Green Purchase Behavior: Price Sensitivity, Perceived Risk, and Attitude towards Green Products",Social Sciences
W2903951479,"Governance, reform and resurgent ethnic identity politics in Jordan",Social Sciences
W2950391223,Introduction: International Relations through feminist lenses: Laura Sjoberg and J. Ann Tickner,Social Sciences
W2007196415,Falling Out: The United States in the Global Community,Social Sciences
W2072372100,Punishing the periphery: legacies of state repression in the Ethiopian Ogaden,Social Sciences
W3111458398,Impact of the fluorescent concretization intervention on effectiveness of hand hygiene in nursing students: A randomized controlled study,Health Sciences
W1997555271,The Constitutional Ideas of a Shi'ite Mujtahid: Muhammad Husayn Na'ini,Social Sciences
W2966066823,"Knowledge, Attitude and Practice of Health Care Personnel about Medical Waste Management in Selected Family Health Centers in Mansoura, Egypt",Health Sciences
W3121472629,اشكالية البطالة فى دول مجلس التعاون الخليجي [Unemployment and job creation in the GCC countries],Social Sciences
W4388066481,Can the War against Terror Justify the Use of Force in Interrogations?,Social Sciences
W988130744,Regional media and its role in Tahrir's revolution: Comparison between Al-Jazeera and Al-Arabiya,Social Sciences
W1505477536,The Officership Model: Exporting Leader Development to the Force,Social Sciences
W1999792100,Sixty years after the UN Partition Resolution: What Future for the Arab Economy in Israel??,Social Sciences
W4380484820,Generation Z’s Financial Behaviour: The Role of Islamic Financial Literacy,Social Sciences
W2907578422,Country profile Lebanon,Social Sciences
W4237671260,Post Intensive Care Unit Follow-up General Health Survey: A Cross-Sectional Study in a Tertiary Academic Hospital,Health Sciences
W3205672385,Digital Crisis Communication Management,Social Sciences
W1944254204,Qualitative and Quantitative Comparative Study of Traditional Music and Architecture,Social Sciences
W2998399484,Senior Digital Up-Skilling – Erasmus Plus Programme Project Dial Case Study,Social Sciences
W4387048867,THE PERSIAN COMMUNITY OF VLADIKAVKAZ ON THE PAGES OF SOVIET REGIONAL PERIODICALS OF THE FIRST THIRD OF THE TWENTIETH CENTURY,Social Sciences
W3199578382,Innovation First and Foremost: The Case of Oman's Ranking in the Global Innovation Index,Social Sciences
W4232416891,Assessment of Ancient Fridges: A Sustainable Method to Storage Ice in Hot-Arid Climates,Social Sciences
W4287656358,The Legal Framework for Protecting Freedom of Opinion and Expression (The Case of Iraq as a Model),Social Sciences
W2185112007,"Psychological Well–Being, Health, and Stress Sources in Turkish Dental Students",Health Sciences
W4210254865,Raising Awareness Towards Evidence-Based Medicine Among Syrian Health Workers: Can Online Course Help? (Preprint),Health Sciences
W2032094463,Fighting with a Conscience. The Effects of an American Sense of Morality on the Evolution of Strategic Bombing Campaigns.,Social Sciences
W3169481216,MODELLING THE IMPACT OF OIL PRICE ON FOOD IMPORTS: CASE OF OMAN,Social Sciences
W2034251250,"Bionomics of phlebotomine sandflies at a peacekeeping duty site in the north of Sinai, Egypt",Health Sciences
W2148865456,Association between Malnutrition and Depression in Elderly People in Razavi Khorasan: A Population Based-Study in Iran.,Health Sciences
W3094026980,"La mort subite cardiaque chez la femme, registre du nord de la Tunisie",Health Sciences
W2109388037,2006 elections in Israel: Marking the end of an era for the controlled televised election campaign broadcast,Social Sciences
W2732239120,"Living and working as a domestic worker in the Middle East: the experience of migrant returnees in Girana town, North Wollo, Ethiopia",Social Sciences
W3216139974,One plus one makes seven: Intricate phylogeographic patterns in <i>Odontites vernus</i> (Orobanchaceae: Rhinantheae) in the Iberian Peninsula,Life Sciences
W4391060596,"Examining the impact of working conditions, lifestyle choices, and demographic factors on mental health of industrial workers",Social Sciences
W2810125867,An Investigation of Financing Mechanisms of Renewable Energy and Energy Efficiency Projects in Jordan: a Review Pape,Physical Sciences
W2034945730,From Hazardous Red Mud Waste to Non-Hazardous Commercial Products,Physical Sciences
W2796706109,Prioritization of Rural Development Strategies by Sustainable Development Approach (Case Study: Villages in the Northwest of Isfahan Province),Physical Sciences
W3181929455,صندوق النقد الدولي واثره على الاقتصاد العراقي,Social Sciences
W125952439,TÜRKİYE İMALAT SANAYİİNDE BÖLGESEL VE SEKTÖREL ÜCRET EŞİTSİZLİĞİ,Social Sciences
W2140192788,Two worlds of assessment of environmental health issues: the case of contaminated water wells in Ramat ha‐Sharon,Social Sciences
W2473964606,Spatial Regimes of Power: Combined Municipal Policing in the Arab City of Nazareth,Social Sciences
W4318612195,KÜLTÜREL DEĞERLER VE KÜYEREL BİR DENEYİM OLARAK KURUMSAL SORUMLULUK: TÜRKİYE ÖRNEĞİ,Social Sciences
W2053425731,Bright Balkan Morning: Romani Lives and the Power of Music in Greek Macedonia (review),Social Sciences
W3214762344,The marginalised few: reflections from the lived experiences of forced displaced academics in Turkish academia,Social Sciences
W3191321832,Death on the Aegean Borderland,Social Sciences
W2471166283,The Community of Displacement,Social Sciences
W2035707545,Roles of Urbanised Negev Bedouin Women Within their Households,Social Sciences
W2741244819,A Mixed Methods Study of the Relationship Between Cultural Capital of Senior High School English Teachers and Their Self-Efficacy in Iran’s English Language Classrooms,Social Sciences
W2606351736,"Prevalence, side effects and awareness about energy drinks among the female university students in Saudi Arabia",Health Sciences
W3174905577,Twitter as a clique: journalists' patterns of Twitter use in Israel,Social Sciences
W3210922686,"Multidimensional Poverty, Gender, and Forced Displacement: A Multi-Country, Intrahousehold Analysis in Sub-Saharan Africa",Social Sciences
W3157946755,Hosting Syrian Refugees in Saida (Lebanon) Under Protracted Displacement: Unfolding Spatial and Social Exclusion,Social Sciences
W3130866250,THE MEDIATING EFFECT OF GREEN CLİMATE ON THE RELATIONSHIP BETWEEN STRATEGIC GREEN OPERATIONS PRACTICES AND GREEN PERFORMANCE: A RESEARCH ON TURKEY GREEN PORTS,Physical Sciences
W4388202329,Aestheticizing the Pain: A Critical Analysis of Media Representation of Earthquake Victim Children in Turkey,Social Sciences
W1914834806,: Ginger and Salt: Yemeni Jewish Women in an Israeli Town . Lisa Gilad.,Social Sciences
W1534727728,Niveles de ansiedad en jugadores internacionales de baloncesto en silla de rueda,Social Sciences
W2040122165,Developing the Conceptual Basis for Restoration Ecology,Physical Sciences
W4239033001,The Politics of Maps,Social Sciences
W3015790397,A Content Analysis of the WH-Questions in the EFL Textbook of That's Right,Social Sciences
W1549384196,Self-serving National Ideologies: A Critical Discourse Analysis of Turkish Cypriot Radio News,Social Sciences
W4313390945,Satisfying the psychological needs of students with mobility disabilities who are integrated in general education schools.,Social Sciences
W3168602112,Crisismanship under the Most Severe Sanctions: Lessons Learned from the Iranian Government’s Responses to the COVID-19,Social Sciences
W4390102522,Opinions and attitudes of general dental practitioners in Libya towards the intracanal separation of endodontic instruments,Health Sciences
W4313557628,"Maximising impactful, locally relevant global mental health research conducted in low and middle income country settings: ethical considerations",Health Sciences
W2025945105,A Policy Agenda for Enhancing Security Without Nuclear Weapons,Social Sciences
W172930926,"Religion, Violence and Religious Education",Social Sciences
W4386402668,Discussing Türkiye's European Union Membership Process in the Nineties By Political Parties,Social Sciences
W2274142672,Demand for Knowledge in the Process of European Economic Integration,Social Sciences
W2207069073,The Crisis of Population Knowledge in Turkey,Social Sciences
W3088845945,"Revolution, Global Development and Disability Politics in Egypt",Social Sciences
W3196151766,The effect of home visits as an additional recruitment step on the composition of the final sample: a cross-sectional analysis in two study centers of the German National Cohort (NAKO),Health Sciences
W2015921315,The Naziheen: Drought and Civil War Victims in the Sudan,Social Sciences
W2007941075,"e-Government, e-Society and Jordan: Strategy, theory, practice, and assessment",Social Sciences
W2592993299,"Inter-strain cross-fertility tests on cultures from Israel and America in the homothallic fungus, Sordaria fimicola",Life Sciences
W2186428201,Organisational barriers to effective pain management amongst oncology nurses in Saudi Arabia,Health Sciences
W4210390067,Expanding Trans Cinema through the Tranny Fest Collection,Social Sciences
W2956676863,Media and Cultural Identity Adjustment in Morocco,Social Sciences
W2064382494,Construction of Green Buildings in Dubai International Academic City,Physical Sciences
