id,title,cited_by_count,field,domain
https://openalex.org/W2084073417,Recruitment and retention of nursing students in Kuwait,19,Nursing,Health Sciences
https://openalex.org/W1949069503,Anatomy of an oil-based welfare state: rent distribution in Kuwait,51,Social Sciences,Social Sciences
https://openalex.org/W2089933851,GLOBALIZATION AND POLITICAL ISLAM: THE SOCIAL BASES OF TURKEY'S WELFARE PARTY,167,Social Sciences,Social Sciences
https://openalex.org/W2162357652,"Religion, politics and social assistance in Turkey: The rise of religiously motivated associations",87,Social Sciences,Social Sciences
https://openalex.org/W2130835337,Straddling Two Continents: Social Policy and Welfare Politics in Turkey,39,Social Sciences,Social Sciences
https://openalex.org/W2490171913,Social Policy Change in Countries without Mature Welfare States: The Case of Turkey,56,Social Sciences,Social Sciences
https://openalex.org/W2395239688,The prospects of egalitarian capitalism in the global South: Turkish social neoliberalism in comparative perspective,33,Social Sciences,Social Sciences
https://openalex.org/W2903594399,The Emerging Welfare Mix for Syrian Refugees in Turkey: The Interplay between Humanitarian Assistance Programmes and the Turkish Welfare System,20,Social Sciences,Social Sciences
https://openalex.org/W2620201613,"Social Classes and the Neo-Liberal Poverty Regime in Turkey, 2002–2011",26,Social Sciences,Social Sciences
https://openalex.org/W1995659317,Budgetary trade-offs of security expenditures in Turkey,27,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W1723225174,Religion and Social Policy in the Middle East: The (Re)Constitution of an Old-New Partnership,47,Social Sciences,Social Sciences
https://openalex.org/W2799742429,Retrenchment of Social Policy by Other Means: A Comparison of Agricultural and Housing Policy in Turkey,27,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2092010517,The Relation between Education and Economic Crime: An Assessment for Turkey,10,Social Sciences,Social Sciences
https://openalex.org/W2164627651,Ethnic Health Care Advisors: A Good Strategy to Improve the Access to Health Care and Social Welfare Services for Ethnic Minorities?,14,Psychology,Social Sciences
https://openalex.org/W229359955,Shadow prices for project appraisal in Turkey,8,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2562477347,The Place and Future of Social Work in Palliative Care Services in Turkey: State of the Art,4,Medicine,Health Sciences
https://openalex.org/W2146150549,"Turkey, the EU and Social Policy",8,Social Sciences,Social Sciences
https://openalex.org/W1981978233,"Turkish Migration and Workforce Participation in Sydney, Australia",5,Social Sciences,Social Sciences
https://openalex.org/W2331203840,Transatlantic Connections in the Making of a Socialist–Feminist Framework for Social Welfare in Turkey,2,Social Sciences,Social Sciences
https://openalex.org/W3048114418,Contentious welfare: The Kurdish conflict and social policy as counterinsurgency in Turkey,5,Social Sciences,Social Sciences
https://openalex.org/W2080937316,The social valuation of income: a survey approach,3,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2054145075,Social Discount Rates and Welfare Weights for Public Investment Decisions under Budgetary Restrictions: The Case of Cyprus*,12,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W3215732544,No Common Ground? Public Knowledge about Welfare Spending in Turkey and its Social Divisions,3,Social Sciences,Social Sciences
https://openalex.org/W2053318322,INTERNATIONAL CHILD WELFARE: GUIDELINES FOR EDUCATORS AND A CASE STUDY FROM CYPRUS,5,Social Sciences,Social Sciences
https://openalex.org/W2897451757,Introduction: social policies and social inequalities in contemporary Turkey,3,Social Sciences,Social Sciences
https://openalex.org/W3092778519,Social welfare impact from enhanced Trans-Asian electricity trade,16,Engineering,Physical Sciences
https://openalex.org/W3024657665,Integrated social and health care services among societies in transition: Insights from Turkey,8,Health Professions,Health Sciences
https://openalex.org/W2116454198,Good jobs in Turkey,1,Social Sciences,Social Sciences
https://openalex.org/W2956274296,Impact Of Social Security Expenditures On Income Distribution: Case Of Turkey,4,Health Professions,Health Sciences
https://openalex.org/W2345634834,"Social texture map and Social Information Center design and integration for social welfare in the city of Konya, Turkey",1,Environmental Science,Physical Sciences
https://openalex.org/W2790804267,Food Banks and Food Insecurity: Cases of Brazil and Turkey,6,Agricultural and Biological Sciences,Life Sciences
https://openalex.org/W4220921232,Emigration and the Transnationalization of Sending States’ Welfare Regimes,5,Health Professions,Health Sciences
https://openalex.org/W2008500283,A Historical Synopsis of Over-feminized Local Governance in Neoliberal Turkey,4,Social Sciences,Social Sciences
https://openalex.org/W3161763373,Transformation in the Delivery of Public Social Services and E-Government Systems,2,Social Sciences,Social Sciences
https://openalex.org/W4309977315,Old but Resilient Story: Impact of Decentralization on Social Welfare,0,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2969716225,Avrupa Refah Rejimleri ve Türkiye’de Öznel İyi Oluş,4,Psychology,Social Sciences
https://openalex.org/W2995719396,Exclusion from Welfare Services in Turkey as a Social Exclusion Form,1,Social Sciences,Social Sciences
https://openalex.org/W2945741266,Afet Odaklı Acil Manevi Sosyal Hizmet Uygulamaları Bağlamında Türkiye’ye Yönelik Bir Model Önerisi,2,Social Sciences,Social Sciences
https://openalex.org/W1464813630,Comparison of the Public Aids between 1986 and 2014,1,Social Sciences,Social Sciences
https://openalex.org/W4226214066,Who is (un)deserving? Differential healthcare access and the interplay between social and symbolic boundary-drawing towards Syrian refugees in Turkey,5,Social Sciences,Social Sciences
https://openalex.org/W3107574915,"Varieties of Regulatory Welfare Regimes in Middle-Income Countries: A Comparative Analysis of Brazil, Mexico, and Turkey",1,Social Sciences,Social Sciences
https://openalex.org/W2434710815,[Residential and living conditions of elderly women and men immigrants in Hamburg].,2,Health Professions,Health Sciences
https://openalex.org/W2940774527,Social Innovation in Translation: New Welfare Instruments in Turkey,2,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2417283851,"Turkey: pressures on employment, housing, education and health care.",1,Social Sciences,Social Sciences
https://openalex.org/W2014153772,Examining ways in which contact opportunities associated with transfers might help identify vulnerable households and link them with social welfare services: A systematic review of the literature,13,Social Sciences,Social Sciences
https://openalex.org/W263693933,The Capitalistic Function of Education-Directed Social Responsibility Projects in Turkey within the Context of Relationships between the Private Sector and NGOs.,2,"Business, Management and Accounting",Social Sciences
https://openalex.org/W1573992729,A discussion of different methods of constructing regional welfare weights,4,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W2003317010,Why exporting countries agree to voluntary export restraints: the oligopolistic power of the foreign supplier,3,"Economics, Econometrics and Finance",Social Sciences
https://openalex.org/W4309852333,Caring Piously: New Institutionalisation of Childcare Services in Turkey,4,Social Sciences,Social Sciences
